# position.dat
#
# Position data for simulation of WSN nodes
# Automatically generated with Python
# Version: 0.10, 2012-may-02
# Author: Marcus Lundén, SICS
# email: marcus.lunden@gmail.com
#
# Model used: Random Waypoint model
# Number of nodes: 15
# Time [s]: 600.0 seconds
# Min speed [m/s]: 1.0
# Max speed [m/s]: 4.0
# Min pause time [s]: 2.0
# Max pause time [s]: 10.0
# Currently disregarding the first 10.0 seconds
# Resolution [s]: 0.2
# Maximum X-size [m]: 175.0
# Maximum Y-size [m]: 150.0
# Note that nodes index here start at zero due to Cooja input format.
#    However, the nodes are indexed >=1 in stats file.
#
#==========================================
0 0.0 106.462781276 110.598593456
1 0.0 134.906533836 68.9280423375
2 0.0 91.5123804827 48.1567623386
3 0.0 96.2094247131 93.5911453056
4 0.0 24.6317573106 23.4487494632
5 0.0 95.7662795396 91.993558699
6 0.0 27.5537977376 66.7759772923
7 0.0 127.702843123 15.9635729083
8 0.0 44.566101985 136.302672385
9 0.0 153.283144553 89.2120776685
10 0.0 145.876036663 22.1768821468
11 0.0 99.9984080403 22.3649582855
12 0.0 117.712653041 123.45127417
13 0.0 15.3355953221 45.751505976
14 0.0 162.464172314 121.850502832
0 0.2 105.977042288 110.283301399
1 0.2 135.158384206 69.0909196631
2 0.2 91.8022575081 48.5245007978
3 0.2 96.8173175605 93.2116714771
4 0.2 25.16279104 23.7715244042
5 0.2 95.8019301667 91.2469002345
6 0.2 27.8168309759 66.935714619
7 0.2 127.655531251 16.2810397912
8 0.2 44.4835512505 136.032646632
9 0.2 153.021293261 89.0117736287
10 0.2 145.876036663 22.1768821468
11 0.2 100.077377699 22.7239034613
12 0.2 117.712653041 123.45127417
13 0.2 15.3807156309 46.2712839615
14 0.2 162.175669237 121.127851872
0 0.4 105.4913033 109.968009343
1 0.4 135.410234576 69.2537969886
2 0.4 92.0921345336 48.8922392569
3 0.4 97.425210408 92.8321976485
4 0.4 25.6938247694 24.0942993453
5 0.4 95.8375807938 90.50024177
6 0.4 28.0798642143 67.0954519456
7 0.4 127.608219379 16.5985066741
8 0.4 44.4010005161 135.762620879
9 0.4 152.75944197 88.811469589
10 0.4 145.876036663 22.1768821468
11 0.4 100.156347358 23.082848637
12 0.4 117.712653041 123.45127417
13 0.4 15.4258359396 46.791061947
14 0.4 161.88716616 120.405200913
0 0.6 105.005564313 109.652717286
1 0.6 135.662084945 69.4166743142
2 0.6 92.382011559 49.2599777161
3 0.6 98.0331032554 92.45272382
4 0.6 26.2248584988 24.4170742864
5 0.6 95.8732314209 89.7535833056
6 0.6 28.3428974526 67.2551892722
7 0.6 127.560907507 16.915973557
8 0.6 44.3184497816 135.492595126
9 0.6 152.497590678 88.6111655492
10 0.6 145.876036663 22.1768821468
11 0.6 100.235317017 23.4417938128
12 0.6 117.712653041 123.45127417
13 0.6 15.4709562484 47.3108399325
14 0.6 161.598663083 119.682549954
0 0.8 104.519825325 109.33742523
1 0.8 135.913935315 69.5795516398
2 0.8 92.6718885844 49.6277161752
3 0.8 98.6409961028 92.0732499915
4 0.8 26.7558922283 24.7398492275
5 0.8 95.908882048 89.0069248411
6 0.8 28.6059306909 67.4149265989
7 0.8 127.513595635 17.2334404399
8 0.8 44.2358990471 135.222569373
9 0.8 152.235739387 88.4108615094
10 0.8 145.876036663 22.1768821468
11 0.8 100.314286676 23.8007389886
12 0.8 117.712653041 123.45127417
13 0.8 15.5160765571 47.830617918
14 0.8 161.310160006 118.959898995
0 1.0 104.034086337 109.022133173
1 1.0 136.165785685 69.7424289654
2 1.0 92.9617656098 49.9954546344
3 1.0 99.2488889502 91.693776163
4 1.0 27.2869259577 25.0626241686
5 1.0 95.944532675 88.2602663766
6 1.0 28.8689639292 67.5746639255
7 1.0 127.466283762 17.5509073227
8 1.0 44.1533483126 134.952543619
9 1.0 151.973888095 88.2105574697
10 1.0 145.876036663 22.1768821468
11 1.0 100.393256335 24.1596841643
12 1.0 117.712653041 123.45127417
13 1.0 15.5611968659 48.3503959034
14 1.0 161.021656929 118.237248036
0 1.2 103.54834735 108.706841117
1 1.2 136.417636055 69.905306291
2 1.2 93.2516426352 50.3631930936
3 1.2 99.8567817976 91.3143023345
4 1.2 27.8179596871 25.3853991096
